month,year,arrivals
January,2018,238924
January,2021,1682
February,2018,235618
February,2021,3366
March,2018,233282
March,2021,4581
April,2018,180429
April,2021,4168
May,2018,129466
May,2021,1497
June,2018,146828
June,2021,1614
July,2018,217829
July,2021,2429
August,2018,200359
August,2021,5040
September,2018,149087
September,2021,13547
October,2018,153123
October,2021,22771
November,2018,195582
November,2021,44294
December,2018,253169
December,2021,89506
