month,year,arrivals
January,2018,238924
January,2019,244239
February,2018,235618
February,2019,252033
March,2018,233382
March,2019,244328
April,2018,180429
April,2019,166975
May,2018,129466
May,2019,37802
June,2018,146828
June,2019,63072
July,2018,217829
July,2019,115701
August,2018,200359
August,2019,143587
September,2018,149087
September,2019,108575
October,2018,153123
October,2019,118743
November,2018,195582
November,2019,176984
December,2018,253169
December,2019,241663
