month,year,arrivals
January,2019,244239
January,2020,228434
February,2019,252033
February,2020,207507
March,2019,244328
March,2020,71370
April,2019,166975
April,2020,0
May,2019,37802
May,2020,0
June,2019,63072
June,2020,0
July,2019,115701
July,2020,0
August,2019,143587
August,2020,0
September,2019,108575
September,2020,0
October,2019,118743
October,2020,0
November,2019,176984
November,2020,0
December,2019,241663
December,2020,393
