month,year,arrivals
January,2017,219360
January,2018,238924
February,2017,197517
February,2018,235618
March,2017,188076
March,2018,233382
April,2017,160249
April,2018,180429
May,2017,121891
May,2018,129466
June,2017,123351
June,2018,146828
July,2017,205482
July,2018,217829
December,2017,244536
December,2018,253169
