month,year,arrivals
January,2020,228434
January,2021,1682
February,2020,207507
February,2021,3366
March,2020,71370
March,2021,4581
April,2020,0
April,2021,4168
May,2020,0
May,2021,1497
June,2020,0
June,2021,1614
July,2020,0
July,2021,2429
August,2020,0
August,2021,5040
September,2020,0
September,2021,13547
October,2020,0
October,2021,22771
November,2020,0
November,2021,44294
December,2020,393
December,2021,89506
