month,predicted_arrivals,lower_bound,upper_bound
2026-01,241930.0,215516.0,269745.0
2026-02,264012.0,233340.0,293049.0
2026-03,226772.0,199950.0,254492.0
2026-04,180535.0,152766.0,209398.0
2026-05,134793.0,107015.0,164972.0
2026-06,176581.0,147505.0,207253.0
2026-07,214782.0,185264.0,246067.0
2026-08,218459.0,187302.0,249668.0
2026-09,186374.0,152722.0,221261.0
2026-10,199010.0,164236.0,233997.0
2026-11,237910.0,202314.0,274249.0
2026-12,308571.0,271288.0,345190.0
